"image","afraid","angry","delighted","disgusted","happy","joyful","nervous","prideful","sad","scared","surprised","threatened"
"f2",1,1,5,1,5,5,1,5,1,1,1,1
"f2",1,1,5,1,5,5,1,3,1,1,3,1
"f2",3,2,4,1,4,4,2,4,2,1,3,1
"f2",1,1,2,1,4,3,1,2,1,1,2,1
"f2",1,1,5,1,4,4,1,3,1,1,2,1
"f2",1,1,4,1,4,3,1,1,1,1,1,1
"f2",1,1,2,1,2,2,1,1,1,1,1,1
"f2",1,1,2,1,2,2,1,1,1,1,1,2
"f2",1,1,3,1,3,2,1,1,1,1,1,1
"f2",1,1,5,1,5,5,1,1,1,1,1,1
"f2",1,1,5,1,5,5,1,4,2,1,2,1
"f2",1,1,4,1,5,4,1,1,1,1,4,1
"f2",1,1,3,1,4,3,1,1,1,1,1,1
"f2",1,1,2,1,3,1,1,1,1,1,1,1
"f3",1,1,4,1,4,4,1,1,1,1,1,1
"f3",3,3,3,2,3,4,4,3,2,3,3,4
"f3",1,1,4,1,4,4,1,1,1,1,2,1
"f3",1,1,2,1,2,2,1,2,1,1,5,1
"f3",1,1,4,1,4,4,1,3,1,1,4,1
"f3",1,1,3,1,3,2,1,2,1,1,2,1
"f3",2,2,4,1,4,4,2,4,2,1,4,1
"f3",1,1,5,2,3,4,1,1,1,1,2,1
"f3",1,1,5,1,5,5,1,3,1,1,4,1
"f3",4,5,1,1,1,1,3,1,3,3,3,3
"f3",1,1,1,1,5,4,1,1,1,1,3,1
"f3",1,1,5,1,5,5,1,3,1,1,3,1
"f3",3,1,3,1,3,2,2,2,1,2,1,2
"f3",1,1,4,1,4,4,1,3,1,1,1,1
"f3",1,1,3,1,4,3,1,1,1,1,3,4
"f3",1,1,5,1,5,5,1,1,1,1,1,1
"f3",1,1,5,1,5,5,1,3,3,1,2,1
"f3",1,1,3,3,3,3,1,1,1,1,1,1
"f3",1,1,3,1,3,3,1,2,1,1,1,1
"f3",1,1,5,1,5,5,1,1,1,1,2,1
"f4",1,1,4,1,4,4,1,1,1,1,1,1
"f4",1,1,5,1,5,5,1,1,1,1,1,1
"f4",1,1,4,1,4,5,1,3,1,1,3,1
"f4",1,1,5,1,4,5,1,1,1,1,3,1
"f4",3,2,4,1,4,4,3,3,2,2,3,1
"f4",1,1,3,1,3,3,1,1,1,1,1,1
"f4",1,1,1,1,3,3,1,1,1,1,4,1
"f4",1,1,2,1,3,3,1,3,1,1,1,1
"f4",1,1,5,1,5,4,1,1,1,1,2,1
"f4",1,1,5,1,5,5,1,1,1,1,2,1
"f4",1,1,4,1,4,4,1,4,1,1,3,1
"f4",1,1,5,1,5,5,1,1,1,1,2,1
"f4",1,1,5,1,4,5,1,1,1,2,1,1
"f4",1,1,5,1,5,5,1,1,1,1,2,1
"f4",1,1,4,1,4,4,1,1,3,1,3,1
"f4",1,1,1,1,3,1,1,3,1,1,3,1
"f4",1,1,1,1,1,5,1,1,1,1,1,1
"f4",1,1,5,1,5,5,1,1,1,1,1,1
"f4",1,1,5,1,5,5,1,1,1,1,3,1
"f4",1,1,3,1,4,2,1,2,1,1,3,1
